View Counts,Likes,Dislikes,ratios
0,793808,28866,211860,0.47
1,310077,28866,211860,0.23
2,622437,28866,211860,0.3
3,32600,28866,211860,0.56
4,930690,28866,211860,0.08
5,100561,28866,211860,0.81
6,796795,28866,211860,0.63
7,139973,28866,211860,0.42
8,703976,28866,211860,0.77
9,641391,28866,211860,1.0
10,252895,28866,211860,0.81
11,184082,28866,211860,0.34
12,714635,28866,211860,0.52
13,924234,28866,211860,0.31
14,545184,28866,211860,0.28
15,626070,28866,211860,0.76
16,506404,28866,211860,0.4
17,218274,28866,211860,0.34
18,742917,28866,211860,0.8
19,75951,28866,211860,0.4
20,895882,28866,211860,0.14
21,826762,28866,211860,0.41
22,118269,28866,211860,0.58
23,440191,28866,211860,0.51
24,898660,28866,211860,0.61
25,791254,28866,211860,0.44
26,703582,28866,211860,0.17
27,168145,28866,211860,0.58
28,206038,28866,211860,0.32
29,254950,28866,211860,0.24
30,967738,28866,211860,0.54
31,164810,28866,211860,0.26
32,294382,28866,211860,0.38
33,56307,28866,211860,0.48
34,49074,28866,211860,0.13
35,699344,28866,211860,0.64
36,982804,28866,211860,0.61
37,868075,28866,211860,0.3
38,562849,28866,211860,0.56
39,186127,28866,211860,0.89
40,199010,28866,211860,0.5
41,951164,28866,211860,0.53
42,202906,28866,211860,0.37
43,426388,28866,211860,0.41
44,288053,28866,211860,0.4
45,457392,28866,211860,0.41
46,216049,28866,211860,0.1
47,864934,28866,211860,0.93
48,930782,28866,211860,0.18
49,103243,28866,211860,0.59
50,916087,28866,211860,0.91
51,76344,28866,211860,0.6
52,333999,28866,211860,0.47
53,987441,28866,211860,0.54
54,110547,28866,211860,0.46
55,127058,28866,211860,0.83
56,968691,28866,211860,0.38
57,156230,28866,211860,0.61
58,618094,28866,211860,0.53
59,30509,28866,211860,0.47
60,275451,28866,211860,0.68
61,162174,28866,211860,0.58
62,5226,28866,211860,0.47
63,926787,28866,211860,0.99
64,66848,28866,211860,0.69
65,495036,28866,211860,0.29
66,542359,28866,211860,0.5
67,133605,28866,211860,0.42
68,961534,28866,211860,0.33
69,658481,28866,211860,0.21
70,572190,28866,211860,0.81
71,970964,28866,211860,0.72
72,150950,28866,211860,0.89
73,916679,28866,211860,0.17
74,984046,28866,211860,0.55
75,44883,28866,211860,0.44
76,672997,28866,211860,0.39
77,896522,28866,211860,0.53
78,438416,28866,211860,0.56
79,382984,28866,211860,0.77
80,925438,28866,211860,0.35
81,403771,28866,211860,0.2
82,948979,28866,211860,0.33
83,250529,28866,211860,0.43
84,185552,28866,211860,0.18
85,613351,28866,211860,0.39
86,747809,28866,211860,0.61
87,94596,28866,211860,0.71
88,955927,28866,211860,0.17
89,905432,28866,211860,0.28
90,509454,28866,211860,0.97
91,574194,28866,211860,0.46
92,935816,28866,211860,0.22
93,139914,28866,211860,0.85
94,829073,28866,211860,0.34
95,226947,28866,211860,0.72
96,654754,28866,211860,0.43
97,877024,28866,211860,0.68
98,612426,28866,211860,0.44
99,72817,28866,211860,0.38
100,536657,28866,211860,0.2
101,797973,28866,211860,0.43
102,969043,28866,211860,0.55
103,982070,28866,211860,0.52
104,36783,28866,211860,0.29
105,658274,28866,211860,0.15
106,191216,28866,211860,0.46
107,250284,28866,211860,0.91
108,47040,28866,211860,0.63
109,67577,28866,211860,0.75
110,324760,28866,211860,0.26
111,528493,28866,211860,0.6
112,37125,28866,211860,0.12
113,530810,28866,211860,0.64
114,348838,28866,211860,0.72
115,549484,28866,211860,0.32
116,109848,28866,211860,0.55
117,865116,28866,211860,0.79
118,782961,28866,211860,0.67
119,804659,28866,211860,0.68
120,366768,28866,211860,0.77
121,100743,28866,211860,0.54
122,332784,28866,211860,0.63
123,9830,28866,211860,0.41
124,824268,28866,211860,0.27
125,87486,28866,211860,0.22
126,418387,28866,211860,0.49
127,873197,28866,211860,0.43
128,439018,28866,211860,0.2
129,314720,28866,211860,0.05
130,394258,28866,211860,0.43
131,374612,28866,211860,0.76
132,688940,28866,211860,0.54
133,356851,28866,211860,0.36
134,54556,28866,211860,0.55
135,571855,28866,211860,0.73
136,341165,28866,211860,0.23
137,887326,28866,211860,0.4
138,114549,28866,211860,0.49
139,18976,28866,211860,0.35
140,835362,28866,211860,0.44
141,460876,28866,211860,0.44
142,636524,28866,211860,0.86
143,240732,28866,211860,0.68
144,547814,28866,211860,0.2
145,39354,28866,211860,0.16
146,307275,28866,211860,0.61
147,923234,28866,211860,0.65
148,843691,28866,211860,0.98
149,338968,28866,211860,0.31
150,903865,28866,211860,0.69
151,208347,28866,211860,0.76
152,669142,28866,211860,0.87
153,341897,28866,211860,0.97
154,667721,28866,211860,0.85
155,722606,28866,211860,0.36
156,197856,28866,211860,0.55
157,42077,28866,211860,0.45
158,905035,28866,211860,0.61
159,944805,28866,211860,0.33
160,151201,28866,211860,0.71
161,611589,28866,211860,0.01
162,945863,28866,211860,0.05
163,690676,28866,211860,0.98
164,918751,28866,211860,0.51
165,315785,28866,211860,0.81
166,930677,28866,211860,0.55
167,455395,28866,211860,0.49
168,448599,28866,211860,0.71
169,877862,28866,211860,0.59
170,526581,28866,211860,0.67
171,769300,28866,211860,0.62
172,835987,28866,211860,0.07
173,864506,28866,211860,0.87
174,554842,28866,211860,0.69
175,694067,28866,211860,0.41
176,410150,28866,211860,0.64
177,509110,28866,211860,0.29
178,99728,28866,211860,0.86
179,288242,28866,211860,0.33
180,391590,28866,211860,0.28
181,741205,28866,211860,0.53
182,932147,28866,211860,0.2
183,184608,28866,211860,0.33
184,915576,28866,211860,0.53
185,427813,28866,211860,0.99
186,476541,28866,211860,0.73
187,74803,28866,211860,0.67
188,435553,28866,211860,0.77
189,593356,28866,211860,0.83
190,693487,28866,211860,0.42
191,991158,28866,211860,0.59
192,7530,28866,211860,0.94
193,627930,28866,211860,0.31
194,335992,28866,211860,0.88
195,939568,28866,211860,0.4
196,557193,28866,211860,0.76
197,341981,28866,211860,0.38
198,801904,28866,211860,0.52
199,242714,28866,211860,0.95
200,434871,28866,211860,0.88
201,319530,28866,211860,0.52
202,498427,28866,211860,0.98
203,302585,28866,211860,0.56
204,120491,28866,211860,0.7
205,62490,28866,211860,0.86
206,501904,28866,211860,0.82
207,513333,28866,211860,0.54
208,757196,28866,211860,0.21
209,240653,28866,211860,0.3
210,748348,28866,211860,0.95
211,161957,28866,211860,0.12
212,783998,28866,211860,0.69
213,303372,28866,211860,0.5
214,773435,28866,211860,0.55
215,37254,28866,211860,0.64
216,539479,28866,211860,0.69
217,801854,28866,211860,0.44
218,920110,28866,211860,0.64
219,826818,28866,211860,0.46
220,528345,28866,211860,0.68
221,574931,28866,211860,0.63
222,536138,28866,211860,0.58
223,856304,28866,211860,0.39
224,623525,28866,211860,0.5
225,616852,28866,211860,0.47
226,880022,28866,211860,0.02
227,518236,28866,211860,0.46
228,831282,28866,211860,0.6
229,977690,28866,211860,0.83
230,371081,28866,211860,0.33
231,102826,28866,211860,0.57
232,364051,28866,211860,0.55
233,366815,28866,211860,0.3
234,506576,28866,211860,0.11
235,138603,28866,211860,0.65
236,518571,28866,211860,0.59
237,801292,28866,211860,0.93
238,288004,28866,211860,0.53
239,283453,28866,211860,0.57
240,833180,28866,211860,0.64
241,927730,28866,211860,0.4
242,833801,28866,211860,0.4
243,679719,28866,211860,0.62
244,82740,28866,211860,0.36
245,109521,28866,211860,0.35
246,268554,28866,211860,0.53
247,996399,28866,211860,0.79
248,172201,28866,211860,0.57
249,528250,28866,211860,0.47
250,678413,28866,211860,0.71
251,522208,28866,211860,0.94
252,920999,28866,211860,0.39
253,894195,28866,211860,0.28
254,356850,28866,211860,0.12
255,173011,28866,211860,0.35
256,361242,28866,211860,0.51
257,482207,28866,211860,0.14
258,319071,28866,211860,0.51
259,832660,28866,211860,0.33
260,215700,28866,211860,0.41
261,955098,28866,211860,0.83
262,170051,28866,211860,0.62
263,613482,28866,211860,0.71
264,36854,28866,211860,0.65
265,472737,28866,211860,0.26
266,40392,28866,211860,0.81
267,790090,28866,211860,0.31
268,609167,28866,211860,0.55
269,205053,28866,211860,0.4
270,111642,28866,211860,0.04
271,622793,28866,211860,0.81
272,865605,28866,211860,0.28
273,235750,28866,211860,0.78
274,410477,28866,211860,0.62
